valid_time,latitude,longitude,t2m,number,sp,tp
2024-01-03,49.0,1.75,283.8399,0,98599.25,0.000100016594
2024-01-03,49.0,2.0,283.92487,0,98686.25,5.4001808e-05
2024-01-03,49.0,2.25,284.02008,0,98831.25,3.504753e-05
2024-01-03,49.0,2.5,284.03912,0,98935.75,3.4809113e-05
2024-01-03,48.75,1.5,283.62897,0,98250.25,5.38826e-05
2024-01-03,48.75,1.75,283.73688,0,98342.5,5.3048134e-05
2024-01-03,48.75,2.0,283.794,0,98429.25,5.197525e-05
2024-01-03,48.75,2.25,284.04938,0,98712.0,2.9921532e-05
2024-01-03,48.75,2.5,284.1568,0,98856.0,2.002716e-05
2024-01-03,48.5,1.5,283.46393,0,98061.0,3.361702e-05
2024-01-03,48.5,1.75,283.66656,0,98247.0,2.0384789e-05
2024-01-03,48.5,2.0,283.86334,0,98463.75,1.7523766e-05
2024-01-03,48.5,2.25,284.1197,0,98729.25,1.3828278e-05
2024-01-03,48.5,2.5,284.26324,0,98903.0,1.2755394e-05
2024-01-03,48.25,1.5,283.62897,0,98350.0,3.385544e-05
2024-01-03,48.25,1.75,283.83502,0,98512.75,2.7418137e-05
2024-01-03,48.25,2.0,284.00885,0,98634.25,1.2874603e-05
2024-01-03,48.25,2.25,284.1407,0,98765.75,1.2397766e-05
2024-01-03,48.25,2.5,284.2032,0,98831.75,1.4305115e-05
2024-01-03,48.0,1.5,283.89117,0,98674.5,1.5497208e-05
2024-01-03,48.0,1.75,284.0772,0,98818.0,1.5258789e-05
2024-01-03,48.0,2.0,284.06647,0,98737.0,4.5776367e-05
2024-01-03,48.0,2.25,284.16608,0,98825.0,3.5643578e-05
2024-01-03,48.0,2.5,284.232,0,98893.0,3.6120415e-05
2024-01-04,49.5,1.5,281.8579,0,98571.59,0.00029718876
2024-01-04,49.5,1.75,281.65088,0,98481.09,0.00027155876
2024-01-04,49.5,2.0,281.74512,0,98689.34,0.00023198128
2024-01-04,49.5,2.25,281.88818,0,99027.59,0.00019061565
2024-01-04,49.5,2.5,282.04248,0,99265.34,0.00015187263
2024-01-04,49.25,1.5,282.1958,0,99193.09,0.0002193451
2024-01-04,49.25,1.75,281.98242,0,99106.84,0.00019097328
2024-01-04,49.25,2.0,281.96875,0,99137.34,0.00015676022
2024-01-04,49.25,2.25,282.00977,0,99260.59,0.00013458729
2024-01-04,49.25,2.5,282.16992,0,99414.84,9.775162e-05
2024-01-04,49.0,1.5,282.35596,0,99196.09,0.00015223026
2024-01-04,49.0,1.75,282.33057,0,99262.09,0.00011765957
2024-01-04,49.0,2.0,282.3545,0,99362.84,0.000116825104
2024-01-04,49.0,2.25,282.40527,0,99517.59,0.00010406971
2024-01-04,49.0,2.5,282.3911,0,99630.59,7.379055e-05
2024-01-04,48.75,1.5,282.09912,0,98870.34,8.9645386e-05
2024-01-04,48.75,1.75,282.11328,0,98974.34,7.18832e-05
2024-01-04,48.75,2.0,282.1206,0,99073.09,6.1154366e-05
2024-01-04,48.75,2.25,282.34766,0,99364.84,7.1287155e-05
2024-01-04,48.75,2.5,282.47998,0,99515.09,6.556511e-05
2024-01-04,48.5,1.5,281.8545,0,98651.59,7.677078e-05
2024-01-04,48.5,1.75,281.93408,0,98849.59,5.9843063e-05
2024-01-04,48.5,2.0,282.04053,0,99079.09,6.020069e-05
2024-01-04,48.5,2.25,282.30566,0,99351.59,5.030632e-05
2024-01-04,48.5,2.5,282.50537,0,99530.59,4.351139e-05
2024-01-04,48.25,1.5,282.03027,0,98909.59,7.843971e-05
2024-01-04,48.25,1.75,282.11572,0,99082.59,4.553795e-05
2024-01-04,48.25,2.0,282.20605,0,99214.09,4.017353e-05
2024-01-04,48.25,2.25,282.42383,0,99350.84,4.696846e-05
2024-01-04,48.25,2.5,282.6079,0,99419.59,4.2557716e-05
2024-01-04,48.0,1.5,282.33887,0,99199.84,9.226799e-05
2024-01-04,48.0,1.75,282.41992,0,99353.09,5.9485435e-05
2024-01-04,48.0,2.0,282.46094,0,99278.34,5.4359436e-05
2024-01-04,48.0,2.25,282.65088,0,99370.59,2.0623207e-05
2024-01-04,48.0,2.5,282.83545,0,99441.84,1.0371208e-05
2024-01-05,49.5,1.5,280.17432,0,98370.15,1.859665e-05
2024-01-05,49.5,1.75,280.15723,0,98259.65,1.513958e-05
2024-01-05,49.5,2.0,280.33545,0,98453.9,1.0251999e-05
2024-01-05,49.5,2.25,280.52295,0,98778.9,5.1259995e-06
2024-01-05,49.5,2.5,280.72754,0,99003.65,2.861023e-06
2024-01-05,49.25,1.5,280.34473,0,98992.65,7.748604e-06
2024-01-05,49.25,1.75,280.3252,0,98886.9,4.2915344e-06
2024-01-05,49.25,2.0,280.4214,0,98901.4,2.026558e-06
2024-01-05,49.25,2.25,280.56055,0,99010.65,1.4305115e-06
2024-01-05,49.25,2.5,280.78662,0,99151.9,8.34465e-07
2024-01-05,49.0,1.5,280.32324,0,98990.15,3.0994415e-06
2024-01-05,49.0,1.75,280.46875,0,99036.4,2.2649765e-06
2024-01-05,49.0,2.0,280.62402,0,99120.65,1.4305115e-06
2024-01-05,49.0,2.25,280.7793,0,99262.4,1.0728836e-06
2024-01-05,49.0,2.5,280.85645,0,99362.4,7.1525574e-07
2024-01-05,48.75,1.5,279.97852,0,98648.9,1.4305115e-06
2024-01-05,48.75,1.75,280.1377,0,98734.15,9.536743e-07
2024-01-05,48.75,2.0,280.271,0,98816.9,4.7683716e-07
2024-01-05,48.75,2.25,280.59375,0,99096.4,1.1920929e-07
2024-01-05,48.75,2.5,280.81104,0,99235.65,0.0
2024-01-05,48.5,1.5,279.47705,0,98409.65,8.34465e-07
2024-01-05,48.5,1.75,279.729,0,98590.9,2.3841858e-07
2024-01-05,48.5,2.0,280.07275,0,98805.15,0.0
2024-01-05,48.5,2.25,280.44287,0,99067.9,0.0
2024-01-05,48.5,2.5,280.73242,0,99238.15,0.0
2024-01-05,48.25,1.5,279.35107,0,98652.15,0.0
2024-01-05,48.25,1.75,279.6411,0,98809.65,0.0
2024-01-05,48.25,2.0,279.97803,0,98926.65,0.0
2024-01-05,48.25,2.25,280.35547,0,99054.4,0.0
2024-01-05,48.25,2.5,280.69873,0,99113.9,0.0
2024-01-05,48.0,1.5,279.4668,0,98925.4,0.0
2024-01-05,48.0,1.75,279.74854,0,99063.9,0.0
2024-01-05,48.0,2.0,280.00488,0,98975.4,4.7683716e-07
2024-01-05,48.0,2.25,280.3413,0,99058.65,0.0
2024-01-05,48.0,2.5,280.68115,0,99120.4,0.0
2024-01-06,49.5,1.5,278.04977,0,99433.92,2.5510788e-05
2024-01-06,49.5,1.75,277.95944,0,99301.42,2.169609e-05
2024-01-06,49.5,2.0,278.11618,0,99478.92,8.702278e-06
2024-01-06,49.5,2.25,278.25192,0,99785.17,6.0796738e-06
2024-01-06,49.5,2.5,278.35886,0,99990.17,9.417534e-06
2024-01-06,49.25,1.5,278.2822,0,100005.67,1.2993813e-05
2024-01-06,49.25,1.75,278.18845,0,99877.42,9.655952e-06
2024-01-06,49.25,2.0,278.24606,0,99871.92,5.6028366e-06
2024-01-06,49.25,2.25,278.31198,0,99960.17,4.053116e-06
2024-01-06,49.25,2.5,278.42136,0,100080.42,6.556511e-06
2024-01-06,49.0,1.5,278.11765,0,99955.67,1.5735626e-05
2024-01-06,49.0,1.75,278.2192,0,99982.67,1.5735626e-05
2024-01-06,49.0,2.0,278.3486,0,100047.42,6.198883e-06
2024-01-06,49.0,2.25,278.42477,0,100168.42,4.2915344e-06
2024-01-06,49.0,2.5,278.41403,0,100246.17,6.7949295e-06
2024-01-06,48.75,1.5,277.88132,0,99562.42,1.2040138e-05
2024-01-06,48.75,1.75,277.98825,0,99628.67,1.0371208e-05
2024-01-06,48.75,2.0,278.11667,0,99693.42,7.033348e-06
2024-01-06,48.75,2.25,278.30807,0,99955.42,6.3180923e-06
2024-01-06,48.75,2.5,278.40427,0,100073.17,6.914139e-06
2024-01-06,48.5,1.5,277.69138,0,99276.92,5.00679e-06
2024-01-06,48.5,1.75,277.85446,0,99441.67,5.2452087e-06
2024-01-06,48.5,2.0,278.10983,0,99640.67,6.67572e-06
2024-01-06,48.5,2.25,278.291,0,99885.67,5.722046e-06
2024-01-06,48.5,2.5,278.41696,0,100035.17,6.556511e-06
2024-01-06,48.25,1.5,277.7114,0,99482.17,1.4305115e-06
2024-01-06,48.25,1.75,277.78757,0,99624.17,2.1457672e-06
2024-01-06,48.25,2.0,277.9487,0,99724.17,3.2186508e-06
2024-01-06,48.25,2.25,278.12546,0,99832.92,3.9339066e-06
2024-01-06,48.25,2.5,278.26413,0,99874.67,7.1525574e-06
